job_id,job_title,company_name,time_posted,location,seniority_level,employment_type,job_function,industries,function,industry,city
4245960962,"Account Executive, Learning solutions",LinkedIn,2 days ago,Mumbai Metropolitan Region,Mid-Senior level,Full-time,Sales,"Technology, Information and Internet",Sales,Technology,Mumbai
4245218808,Assistant Manager Finance,Godrej Agrovet Limited,3 days ago,"Mumbai, Maharashtra, India",Mid-Senior level,Full-time,Finance,"Manufacturing, Food and Beverage Manufacturing, and Industrial Machinery Manufacturing",Finance,Manufacturing,Mumbai
4244307481,Business Analyst,PharmEasy,1 day ago,"Bengaluru, Karnataka, India",Executive,Full-time,Analyst,"Health, Wellness & Fitness",Analyst,Health,Bengaluru
4245087056,Executive Assistant,Moët Hennessy,3 days ago,"Mumbai, Maharashtra, India",Not Applicable,Contract,"Administrative, Management, and General Business","Beverage Manufacturing, Retail, and Business Consulting and Services",Administrative,Beverage,Mumbai
4246441934,Brand Manager – Ice Cream (BD),Unilever,1 day ago,"Mumbai, Maharashtra, India",Mid-Senior level,Full-time,"General Business, Strategy/Planning, and Marketing","Manufacturing, Food and Beverage Manufacturing, and Food and Beverage Services",General,Manufacturing,Mumbai
4245236734,"Business Development Associate , Private Brands",Amazon,3 days ago,"Bengaluru, Karnataka, India",Not Applicable,Full-time,Business Development and Information Technology,Software Development,Business,Software,Bengaluru
4245941598,Ecommerce Manager,Reliance Brands Limited,2 days ago,"Gurugram, Haryana, India",Mid-Senior level,Full-time,Strategy/Planning,Retail and Retail Apparel and Fashion,Strategy/Planning,Retail,Gurugram
4245547542,Manager - Corporate Communications,The Coca-Cola Company,3 days ago,"Gurugram, Haryana, India",Not Applicable,Full-time,Advertising,"Manufacturing, Food and Beverage Manufacturing, and Food and Beverage Services",Advertising,Manufacturing,Gurugram
4245938081,Branch Manager - Kharagpur,Aditya Birla Capital,2 days ago,"West Bengal, India",Mid-Senior level,Full-time,Sales and Business Development,Financial Services,Sales,Financial,West
4245877461,Talent Account Director 2,LinkedIn,2 days ago,"Gurgaon, Haryana, India",Associate,Full-time,Sales,"Technology, Information and Internet",Sales,Technology,Gurgaon
4244332836,Research And Development Officer,Meril,1 day ago,"Vapi, Gujarat, India",Entry level,Full-time,Research,Software Development,Research,Software,Vapi
4245255074,Fire Executive - Vadodara,Reliance Industries Limited,3 days ago,"Vadodara, Gujarat, India",Mid-Senior level,Full-time,Business Development and Sales,Oil and Gas,Business,Oil,Vadodara
4245528214,HR Ops Admin,Amazon,3 days ago,"Nagpur, Maharashtra, India",Not Applicable,Full-time,Distribution and Other,Software Development,Distribution,Software,Nagpur
4245268502,Store Manager,H&M,3 days ago,"Bhopal, Madhya Pradesh, India",Not Applicable,Full-time,Management,Retail,Management,Retail,Bhopal
4244605546,Supply Chain Head,JSW Paints,5 hours ago,"Mumbai, Maharashtra, India",Mid-Senior level,Full-time,Supply Chain,"Paint, Coating, and Adhesive Manufacturing, Retail Building Materials and Garden Equipment, and Manufacturing",Supply,Paint,Mumbai
4243926442,Trainee Field Officer,Cadila Pharmaceuticals Limited,3 weeks ago,"Yamunanagar, Haryana, India",Internship,Full-time,Other,Pharmaceutical Manufacturing,Other,Pharmaceutical,Yamunanagar
4245524725,"Process Assistant, Amazon Fresh",Amazon,3 days ago,Mumbai Metropolitan Region,Not Applicable,Full-time,"Management, Distribution, and Supply Chain",Software Development,Management,Software,Mumbai
4244370166,Business Development Executive,Flipkart,1 day ago,"Bengaluru, Karnataka, India",Executive,Full-time,Business Development and Sales,"Retail and Technology, Information and Internet",Business,Retail,Bengaluru
4245871972,"APAC Sales Operations Manager, Large Customer (International) Group - LMS",LinkedIn,2 days ago,"Bengaluru, Karnataka, India",Mid-Senior level,Full-time,Sales,"Technology, Information and Internet",Sales,Technology,Bengaluru
4245993832,Assistant Finance Manager - FET,Unilever,1 day ago,"Bengaluru, Karnataka, India",Mid-Senior level,Full-time,Finance,"Manufacturing, Food and Beverage Manufacturing, and Food and Beverage Services",Finance,Manufacturing,Bengaluru
4245097448,Financial Analyst,American Express,3 days ago,"Gurgaon, Haryana, India",Entry level,Full-time,Other,Financial Services,Other,Financial,Gurgaon
4245962173,Center Operation Manager - Chandigarh,Frankfinn Aviation Services Pvt. Limited,2 days ago,"Chandigarh, Chandigarh, India",Mid-Senior level,Full-time,Management and Manufacturing,Pharmaceutical Manufacturing,Management,Pharmaceutical,Chandigarh
4245739040,Recruiter I,Conduent,2 days ago,"Visakhapatnam Rural mandal, India",Mid-Senior level,Full-time,Human Resources,IT Services and IT Consulting,Human,IT,Visakhapatnam
4245875707,Software Engineer,PhonePe,2 days ago,"Bengaluru, Karnataka, India",Associate,Full-time,Engineering,Software Development,Engineering,Software,Bengaluru
4244936792,"Human Resources (HR) Internship in Delhi, Gurgaon, Noida",Caroline Healthcare Private Limited,3 days ago,"Delhi, India",Internship,Internship,Human Resources and Management,Advertising Services,Human,Advertising,Delhi
4245053620,Head - Operations Command Center (OCC),Medanta,3 days ago,"Gurugram, Haryana, India",Mid-Senior level,Full-time,Other,Hospitals and Health Care and Telecommunications,Other,Hospitals,Gurugram
4245523824,Business Analyst Support,Amazon,3 days ago,"Bengaluru, Karnataka, India",Not Applicable,Full-time,"Purchasing, Supply Chain, and Information Technology",Software Development,Purchasing,Software,Bengaluru
4245895436,Information Technology System Administrator,Aditya Birla Group,2 days ago,"Thane, Maharashtra, India",Associate,Contract,Information Technology,"IT Services and IT Consulting, Pharmaceutical Manufacturing, and Retail",Information,IT,Thane
4243789562,Warehouse Operations Manager,Reliance Retail,1 day ago,"Noida, Uttar Pradesh, India",Mid-Senior level,Full-time,Management and Manufacturing,Retail,Management,Retail,Noida
4245058186,Shift Manager,Instamart,4 weeks ago,"Gurgaon, Haryana, India",Mid-Senior level,Full-time,Management and Manufacturing,"Technology, Information and Internet",Management,Technology,Gurgaon
4244353721,Junior Accountant,PKF India,1 day ago,"Mumbai, Maharashtra, India",Mid-Senior level,Full-time,Accounting/Auditing and Finance,Retail Apparel and Fashion and Accounting,Accounting/Auditing,Retail,Mumbai
4243784929,Department Manager,Reliance Retail,1 day ago,"Noida, Uttar Pradesh, India",Mid-Senior level,Full-time,Sales,Retail,Sales,Retail,Noida
4245274101,Support Controller - Operations,Aditya Birla Group,3 days ago,"Maharashtra, India",Director,Full-time,Accounting/Auditing and Finance,Manufacturing,Accounting/Auditing,Manufacturing,Maharashtra
4245273431,SAP Audit (MM/SD/FICO),KPMG India,3 days ago,"Gurugram, Haryana, India",Associate,Full-time,Information Technology,Information Services and IT Services and IT Consulting,Information,Information,Gurugram
4245240131,"Executive Assistant, India Public Policy",Amazon,3 days ago,"Gurugram, Haryana, India",Not Applicable,Full-time,Legal,Software Development,Legal,Software,Gurugram
4245528217,Process Assistant,Amazon,3 days ago,Mumbai Metropolitan Region,Not Applicable,Full-time,"Management, Distribution, and Supply Chain",Software Development,Management,Software,Mumbai
4245701143,Global Assistant Brand Manager- Dove Premium Portfolio,Unilever,2 days ago,"Mumbai, Maharashtra, India",Mid-Senior level,Full-time,"General Business, Strategy/Planning, and Marketing","Manufacturing, Food and Beverage Manufacturing, and Food and Beverage Services",General,Manufacturing,Mumbai
4245735859,Recruiter II,Conduent,2 days ago,"Bengaluru, Karnataka, India",Mid-Senior level,Full-time,Human Resources,IT Services and IT Consulting,Human,IT,Bengaluru
4245527609,"Operations Lead, Amazon Fresh",Amazon,3 days ago,Mumbai Metropolitan Region,Mid-Senior level,Full-time,"Management, Distribution, and Supply Chain",Software Development,Management,Software,Mumbai
4245706564,Process Assistant,Amazon,2 days ago,"Bengaluru, Karnataka, India",Not Applicable,Full-time,Administrative,Software Development,Administrative,Software,Bengaluru
4245738039,Recruiter I,Conduent,2 days ago,"Visakhapatnam Rural mandal, India",Mid-Senior level,Full-time,Human Resources,IT Services and IT Consulting,Human,IT,Visakhapatnam
4245270346,Department Manager,H&M,3 days ago,"Mumbai, Maharashtra, India",Not Applicable,Full-time,Management,Retail,Management,Retail,Mumbai
4245525582,Loan Operations Analyst,Deutsche Bank,3 days ago,"Pune, Maharashtra, India",Not Applicable,Full-time,Finance and Sales,Financial Services,Finance,Financial,Pune
4245232176,IN- Administrative 2_ Executive Assistant _Advisory Corporate _Advisory_Gurgaon,PwC India,3 days ago,"Bengaluru, Karnataka, India",Mid-Senior level,Full-time,Administrative,Business Consulting and Services,Administrative,Business,Bengaluru
4245522850,"Operations Lead, Amazon Fresh",Amazon,3 days ago,Mumbai Metropolitan Region,Mid-Senior level,Full-time,"Management, Distribution, and Supply Chain",Software Development,Management,Software,Mumbai
4244350870,Project Manager,NxtWave,1 day ago,"Bengaluru, Karnataka, India",Not Applicable,Full-time,Project Management,Education Administration Programs and Education,Project,Education,Bengaluru
4243790848,Analyst,Wipro,1 day ago,"Gurugram, Haryana, India",Associate,Full-time,Legal,"Investment Management, Financial Services, and Real Estate",Legal,Investment,Gurugram
4243788622,Customer Service Support Manager,Reliance Retail,1 day ago,"Patna, Bihar, India",Mid-Senior level,Full-time,Other,Retail,Other,Retail,Patna
4245523827,"Operations Lead, Amazon Fresh",Amazon,3 days ago,Mumbai Metropolitan Region,Mid-Senior level,Full-time,"Management, Distribution, and Supply Chain",Software Development,Management,Software,Mumbai
4245082566,Document Specialist II,Capgemini,3 days ago,"Bengaluru, Karnataka, India",Entry level,Full-time,Other,IT Services and IT Consulting,Other,IT,Bengaluru
4245893808,Legal Associate - Privacy,Unilever,2 days ago,"Bengaluru, Karnataka, India",Associate,Full-time,Legal,"Manufacturing, Food and Beverage Manufacturing, and Food and Beverage Services",Legal,Manufacturing,Bengaluru
